attribute,mean,max,min
organophosphate,0.023674729799279464,1.0,0.0
pubchem_f396,0.028821410190427176,1.0,0.0
maccs_k097,0.22439526505404014,1.0,0.0
pubchem_f433,0.2110138960370561,1.0,0.0
conjugated_double_bond,0.373134328358209,1.0,0.0
pubchem_f306,0.022645393721049924,1.0,0.0
maccs_k033,0.022645393721049924,1.0,0.0
pubchem_f704,0.07565620174987134,1.0,0.0
2-N-linked ribose deriv.,0.02213072568193515,1.0,0.0
pubchem_f672,0.2527020072053526,1.0,0.0
para_substituted_ring,0.4997426659804426,1.0,0.0
pubchem_f039,0.033453422542460115,1.0,0.0
pattern_c215,0.02161605764282038,1.0,0.0
pubchem_f190,0.02161605764282038,1.0,0.0
pubchem_f285,0.988677303139475,1.0,0.0
maccs_k095,0.2573340195573855,1.0,0.0
pubchem_f520,0.11219763252702007,1.0,0.0
sulfonic_acid,0.02110138960370561,1.0,0.0
sulfonic_acid_derivative,0.02110138960370561,1.0,0.0
acetal_like,0.056098816263510036,1.0,0.0
maccs_k043,0.056098816263510036,1.0,0.0
maccs_322_072,0.020586721564590838,1.0,0.0
maccs_k032,0.02007205352547607,1.0,0.0
pubchem_f032,0.02007205352547607,1.0,0.0
pubchem_f668,0.21049922799794132,1.0,0.0
pubchem_f820,0.21049922799794132,1.0,0.0
pubchem_f515,0.02110138960370561,1.0,0.0
peptide,0.034482758620689655,1.0,0.0
isobutyl,0.034482758620689655,1.0,0.0
meta_substituted_ring,0.4945959855892949,1.0,0.0
filter_bridged_rings_55_heterocyclic,0.0195573854863613,1.0,0.0
pubchem_f597,0.10910962429233145,1.0,0.0
pubchem_f116,0.033968090581574885,1.0,0.0
ring_of_size3,0.033968090581574885,1.0,0.0
maccs_k022,0.033968090581574885,1.0,0.0
pattern_c256,0.019042717447246525,1.0,0.0
pubchem_f295,0.0957282552753474,1.0,0.0
pubchem_f651,0.025218733916623777,1.0,0.0
pubchem_f038,0.09675759135357695,1.0,0.0
maccs_k103,0.09675759135357695,1.0,0.0
phosphate monoester,0.018013381369016986,1.0,0.0
diarylthioether,0.007205352547606794,1.0,0.0
maccs_k025,0.03242408646423057,1.0,0.0
organohalide,0.14204837879567678,1.0,0.0
pattern_c13,0.14204837879567678,1.0,0.0
maccs_k069,0.06845084920226453,1.0,0.0
pubchem_f431,0.6016469377251673,1.0,0.0
nitro,0.012866700977869275,1.0,0.0
ring_of_size6,0.7632527020072054,1.0,0.0
maccs_k163,0.7632527020072054,1.0,0.0
pubchem_f554,0.2727740607308286,1.0,0.0
maccs_322_030,0.2727740607308286,1.0,0.0
pattern_c123,0.017498713329902212,1.0,0.0
pubchem_f460,0.0319094184251158,1.0,0.0
phenolether_ortho_subs,0.0725681935151827,1.0,0.0
dialkylthioether,0.016984045290787442,1.0,0.0
pubchem_f117,0.016984045290787442,1.0,0.0
maccs_k134,0.1435923829130211,1.0,0.0
halide,0.1435923829130211,1.0,0.0
pubchem_f150,0.06690684508492023,1.0,0.0
maccs_k060,0.041173443129181676,1.0,0.0
maccs_k061,0.041173443129181676,1.0,0.0
maccs_322_148,0.041173443129181676,1.0,0.0
pubchem_f505,0.08955223880597014,1.0,0.0
masqued_o_quinone,0.013381369016984045,1.0,0.0
n-acyl-aliphatic alpha-amino-acid,0.016469377251672673,1.0,0.0
mixed_anhydride,0.016469377251672673,1.0,0.0
pubchem_f484,0.016469377251672673,1.0,0.0
pubchem_f683,0.15131240349974268,1.0,0.0
filter_fused_rings_67_heterocyclic,0.040658775090066906,1.0,0.0
pubchem_f148,0.0159547092125579,1.0,0.0
pubchem_f610,0.0159547092125579,1.0,0.0
pubchem_f485,0.0957282552753474,1.0,0.0
heteroring_of_size7,0.04014410705095214,1.0,0.0
pubchem_f451,0.12300566134843026,1.0,0.0
ortho_substituted_ring,0.4889346371590324,1.0,0.0
maccs_k110,0.24961399897066391,1.0,0.0
hemiacetal,0.01544004117344313,1.0,0.0
pubchem_f573,0.08749356664951106,1.0,0.0
phenol ether,0.07514153371075656,1.0,0.0
pubchem_f488,0.1080802882141019,1.0,0.0
pubchem_f154,0.0478641276376737,1.0,0.0
pubchem_f179,0.7524446731857951,1.0,0.0
pattern_c252,0.014925373134328358,1.0,0.0
sugar_pattern_2_reducing,0.014925373134328358,1.0,0.0
pattern_c317,0.014925373134328358,1.0,0.0
sulfonamide,0.014925373134328358,1.0,0.0
guanidine,0.014925373134328358,1.0,0.0
phenolether_para_subs,0.07565620174987134,1.0,0.0
pubchem_f574,0.42099845599588265,1.0,0.0
pubchem_f537,0.12094698919197118,1.0,0.0
dialkylether,0.07874420998455996,1.0,0.0
maccs_k144,0.49202264539372104,1.0,0.0
maccs_322_015,0.49202264539372104,1.0,0.0
pubchem_f735,0.07205352547606794,1.0,0.0
pattern_c206,0.013896037056098817,1.0,0.0
maccs_k083,0.2923314462171899,1.0,0.0
heteroring_of_size5,0.2923314462171899,1.0,0.0
pubchem_f214,0.03705609881626351,1.0,0.0
pattern_c99,0.2444673185795162,1.0,0.0
pattern_c107,0.20174987133299022,1.0,0.0
pubchem_f380,0.10499227997941328,1.0,0.0
pubchem_f152,0.013381369016984045,1.0,0.0
pattern_c287,0.013381369016984045,1.0,0.0
pattern_c179,0.013381369016984045,1.0,0.0
pubchem_f708,0.04529078744209985,1.0,0.0
pattern_c96,0.2254246011322697,1.0,0.0
maccs_k058,0.03654143077714874,1.0,0.0
maccs_k111,0.3422542460113227,1.0,0.0
pattern_c100,0.23005661348430262,1.0,0.0
pattern_c97,0.23005661348430262,1.0,0.0
pubchem_f602,0.06793618116314977,1.0,0.0
r5_3ht_sat,0.012352032938754504,1.0,0.0
pubchem_f622,0.06742151312403499,1.0,0.0
maccs_322_033,5.14668039114771E-4,1.0,0.0
dithiocarbamic acid ester,5.14668039114771E-4,1.0,0.0
pubchem_f470,5.14668039114771E-4,1.0,0.0
benzo_14_diazepine,5.14668039114771E-4,1.0,0.0
4_hydroxyanilide,5.14668039114771E-4,1.0,0.0
organofluoride_pattern2,5.14668039114771E-4,1.0,0.0
dibenzo_14_diazepine,5.14668039114771E-4,1.0,0.0
pubchem_f167,5.14668039114771E-4,1.0,0.0
r5_3ht_aro,0.011837364899639732,1.0,0.0
maccs_k055,0.034482758620689655,1.0,0.0
pubchem_f018,0.011322696860524962,1.0,0.0
benzenesulfonamide,0.011322696860524962,1.0,0.0
maccs_k039,0.011322696860524962,1.0,0.0
pattern_c178,0.024189397838394237,1.0,0.0
pattern_c190,0.01080802882141019,1.0,0.0
pattern_c261,0.01080802882141019,1.0,0.0
maccs_k030,0.01080802882141019,1.0,0.0
pattern_c122,0.010293360782295419,1.0,0.0
2|E1,0.0,0.0,0.0
